75,136
75,133
75,136
75,134
75,128
75,133
75,131
76,116
76,116
76,133
76,135
76,166
76,135
76,127
76,128
76,127
77,119
77,104
77,130
78,110
78,99
79,115
79,139
79,116
79,93
80,120
83,87
84,110
85,123
85,116
85,105
85,104
86,103
86,124
86,126
87,116
87,92
87,116
87,121
88,102
88,116
89,84
91,104
92,113
95,122
96,94
96,105
96,118
96,116
96,83
97,112
100,105
101,99
102,95
102,100
103,99
103,111
104,116
106,213
106,117
109,81
109,103
110,99
111,122
112,94
114,92
115,88
117,104
119,106
120,94
121,89
121,99
122,100
123,102
146,91
149,142
152,141
179,88
180,89
180,90
213,87
314,83
330,87
331,96
337,76
530,82
584,85
75,128
76,129
76,131
77,134
77,117
78,113
79,107
83,92
83,99
87,98
89,95
96,93
109,90
109,91
114,93
114,97
117,113
120,100
121,90
121,98
337,75
337,75
530,86
74,192
74,157
74,152
75,136
75,129
75,126
76,108
77,97
78,93
79,88
83,85
89,83
96,82
109,80
255,76
288,75
337,75
